DIRECCION_BASE	count
AV AVENIDA CIUDAD DE CALI-CL 19	50
CL 138-KR 58	49
KR 10-CL 9	49
AV AVENIDA BOYACA-CL 7A	49
AV AVENIDA DE LAS AMERICAS-KR 80G	49
AV AVENIDA CIUDAD DE CALI-CL 20	49
KR 30-CL 92	49
KR 15-CL 124	49
AV AVENIDA CIUDAD DE CALI-CL 43 S	49
AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 80	49
KR 7-CL 72	49
AV AVENIDA BOYACA-CL 72 S	49
AV AVENIDA BOYACA-AV AVENIDA PRIMERO DE MAYO	49
AV AVENIDA BOYACA-CL 15	49
AK 68-CL 26	49
KR 7-CL 63	49
AC 26-KR 69	49
CL 100-KR 19A	49
AV AVENIDA SUBA-AV AVENIDA BOYACA	49
KR 68-CL 66	48
AV AVENIDA CIUDAD DE CALI-CL 139	48
KR 7-CL 67	48
AV AVENIDA CARACAS-CL 49	48
KR 30-CL 1F	48
CL 100-KR 47	48
AV AVENIDA CARACAS-CL 17	48
AV AVENIDA BOYACA-CL 152	48
CL 26-KR 13	48
KR 10-CL 2	48
CL 6-KR 43	48
AV AVENIDA CARACAS-CL 27 S	48
AC 26-KR 103	48
KR 60-CL 44	48
AV AVENIDA BOYACA-CL 25	48
AK 30-CL 19	48
CL 6-KR 27	48
CL 80-KR 86	47
AV AVENIDA DE LAS AMERICAS-KR 39	47
CL 59-KR 80 S	47
KR 11-CL 82	47
AV AVENIDA BOYACA-CL 129	47
KR 80-CL 38C S	47
CL 13-KR 123	47
AV AVENIDA CARACAS-CL 1	47
AV AVENIDA BOYACA-CL 66	47
AV AVENIDA CARACAS-CL 76	47
AV AVENIDA DE LAS AMERICAS-KR 74	47
CL 63-KR 85	47
CL 80-KR 116	47
KR 7-CL 109	47
CL 68-KR 51 S	47
AV AVENIDA SUBA-CL 115	47
AV AVENIDA BOYACA-CL 128A	46
KR 10-CL 19	46
KR 3-CL 91 E	46
TR 93-CL 53	46
KR 7-CL 100	46
AK 30-CL 45	46
AV AVENIDA CIUDAD DE CALI-CL 38 S	46
KR 9-CL 106	46
CL 72-KR 96	46
CL 100-KR 21	46
AV AVENIDA BOYACA-CL 4	46
CL 13-KR 27	46
KR 7-CL 127	46
KR 50-CL 8 S	46
KR 7-CL 121	46
AV AVENIDA SUBA-CL 120	45
AK 68-CL 6	45
CL 63-KR 105	45
AV AVENIDA DE LAS AMERICAS-KR 54	45
CL 26-KR 96	45
KR 68-CL 37 S	45
KR 80-CL 43 S	45
CL 26-KR 10	45
CL 145-KR 104	45
KR 114-CL 80	45
KR 30-CL 67	45
KR 7-CL 59	45
KR 10-CL 24	44
KR 10-CL 1	44
CL 17-KR 96C	44
KR 7-CL 183	44
KR 45-CL 183	44
KR 7-CL 117	44
KR 68-CL 6	44
AV AVENIDA BOYACA-CL 99	44
AV AVENIDA BOYACA-CL 70 S	44
KR 68-CL 10	44
AV AVENIDA CARACAS-CL 72	43
KR 45-CL 146	43
AC 13-KR 86	43
KR 45-CL 195	43
