	Address	Latitude	Longitude
148	CL 29-KR 69B	4.61500735	-74.06668385
149	CL 52A-KR 77 S	4.6762616	-74.11290225
150	KR 27K-CL 71P S	4.6935068	-74.10671815
151	CL 27-KR 24H S	4.6134882	-74.069008
152	KR 120-CL 17BIS	4.6909052	-74.1620229
153	KR 5-CL 54A ES	4.64053209	-74.06084251
154	KR 8-CL 180BIS	4.75650825	-74.0283151
155	CL 17C-KR 115	4.6922193	-74.0311239
156	KR 87-CL 35B	4.6210279	-74.06370735
157	CL 46F-TR 13BISD SE	4.59929015	-74.19681685
158	TR 43B-CL 56G S	4.64592764	-74.08030298
159	KR 68H-CL 21 S	4.673424	-74.1387194
160	CL 9-KR 78D	4.640359	-74.1377617
161	DG 16-TR 51A S	4.5447265	-74.1134971
162	AV AVENIDA BOYACA-KR 9 S	4.63763908	-74.13669946
163	CL 57-KR 23	4.645512	-74.072722
164	KR 80H-CL 67A S	4.609954	-74.190437
165	CL 12A-KR 28	4.61071	-74.0902239
166	KR 71A-CL 5A	4.6160311	-74.10737205
167	KR 17-DG 61B	4.729772	-74.0248559
168	KR 3-DG 25C S	4.6165806	-74.1366315
169	AC 68F-TR 50 S	4.7201364	-74.1202126
170	AV AVENIDA BOYACA-AC 99	4.70019	-74.081255
171	CL 36-KR 16	4.6248458	-74.0710849
172	CL 40F-KR 80F S	4.6370823	-74.16768015
173	TR 78D-DG 10B	4.643907	-74.13783
174	KR 69A-CL 31 S	4.5871292	-74.1152198
175	KR 89A-CL 62 S	4.64902535	-74.06491355
176	CL 136-KR 96A	4.7366956	-74.0912741
177	CL 43-KR 42	4.6540862	-74.1013894
178	KR 2B-DG 100C S	4.495241	-74.112027
179	KR 33-CL 40	4.63040335	-74.07605915
180	KR 1-CL 84A S	4.58096875	-74.0781009
181	TR 50-CL 69B S	4.683504	-74.0956859
182	CL 9-KR 7 SE	4.631462	-74.129306
183	CL 93-KR 19A	4.6783514	-74.0548429
184	KR 64-CL 68B	4.675272	-74.0900019
185	CL 139-KR 12B	4.72072245	-74.04127175
186	CL 69C-KR 42 S	4.7094467	-74.1323707
187	KR 98A-CL 42G S	4.57589045	-74.1763409
188	AV AVENIDA JORGE ELIECER GAITAN-KR 3	4.66079036	-74.10837504
189	DG 83-KR 1 SE	4.742582	-74.0161139
190	KR 3A-CL 4B E	4.579603	-74.076292
191	CL 73-KR 78A	4.6929559	-74.099767
192	TR 15-CL 58A ES	4.6454836	-74.0668009
193	KR 49-CL 58 S	4.6043992	-74.1741861
194	KR 6-CL 123A	4.6988833	-74.0288319
195	CL 143B-KR 150B	4.7516152	-74.11493925
196	CL 39-KR 72M S	4.613841	-74.147987
197	CL 22B-KR 12 S	4.66903765	-74.13150197
198	CL 39B-KR 72JBIS S	4.627489	-74.079743
199	AV AVENIDA JIMENEZ DE QUESADA-KR 5	4.60286241	-74.07863821
200	KR 156B-CL 138	4.7438612	-74.10674995
201	CL 74-KR 63	4.6772462	-74.0833114
202	CL 68A-TR 80 S	4.68879745	-74.1055893
203	CL 36B-KR 4C S	4.5611896	-74.100134
204	TR 5P-AC 48 S	4.6397151	-74.0633665
205	CL 145-KR 87	4.7238865	-74.03535585
206	CL 29A-KR 38 S	4.63171665	-74.0822273
207	KR 71-CL 55BBIS S	4.729741	-74.0271229
208	CL 11B-KR 84B	4.6520386	-74.1427409
209	AV AVENIDA CARACAS-KR 23 S	4.518323	-74.1176999
210	KR 27-CL 24B	4.62275	-74.0796129
211	CL 21-KR 26 S	4.6683988	-74.1346436
212	CL 68A-KR 100	4.68108675	-74.09588755
213	KR 45-CL 219	4.64819735	-74.09118265
214	AV AVENIDA PRIMERO DE MAYO-AC 41G S	4.5758443	-74.09453095
215	CL 63-KR 77GBIS S	4.64424095	-74.0531605
216	CL 11-KR 3C S	4.5869996	-74.0884369
217	CL 135A-KR 95A	4.735442	-74.089936
218	AC 24-KR 58	4.6676122	-74.0956619
219	TR 137-CL 132D	4.743942	-74.1147215
220	KR 18Z-CL 69T S	4.71533905	-74.1378855
221	KR 116C-CL 77B	4.72224	-74.130096
222	AC 24-KR 119	4.6398798	-74.0637904
223	KR 12D-CL 22B	4.6696277	-74.1338494
224	AC 19-KR 26	4.6637741	-74.0682885
225	CL 37-KR 2A SE	4.62556415	-74.0694805
226	KR 61D-DG 52 S	4.81210079	-74.04012055
227	DG 44A-TR 23BIS S	4.5768915	-74.1264606
228	CL 48-TR 5P S	4.6359827	-74.0699515
229	KR 60-CL 115	4.6933542	-74.03507415
230	AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 40	4.629498	-74.1711231
231	CL 167A-KR 45A	4.7489063	-74.047822
232	AK 15-CL 95	4.7266104	-74.04105865
233	KR 9-CL 30A S	4.6157476	-74.06515795
234	AV AVENIDA BOYACA-DG 127BBIS	4.59927728	-74.14460357
235	CL 51-KR 90D S	4.6338935	-74.1826949
236	CL 128B-KR 56	4.7246524	-74.0956408
237	AV AVENIDA DE LAS AMERICAS-CL 59	4.62999202	-74.13558314
238	AV AVENIDA BOYACA-AC 150	4.66572375	-74.11239431
239	KR 46A-CL 69	4.6556815	-74.06259565
240	AV AVENIDA BOYACA-DG 47	4.689448	-74.0938201
